policy,scenario,seed,status,net,pilot_net,pilot_cost,pilot_contacts,n_pilots,total_cost,total_contacts,preflight_valid,dropped_campaigns,capped_campaigns,positive_discovered,positive_deployed,positive_observation,agent_seconds,wall_seconds,exception
fixed,mock,58,ok,1525072.40895153,449500.50307570066,14000,3500,20,68472.0,5976,True,0,0,True,True,True,0.555710699991323,1.7309933999786153,
fixed,mock,59,ok,1145103.622566421,452773.17337370326,14000,3500,20,98888.0,5483,True,0,0,True,True,True,0.5903587000211701,1.7535789998946711,
adaptive,mock,59,ok,1106058.4381611745,421084.5981717867,13200,3300,19,98088.0,5283,True,0,0,True,True,True,0.5447383000282571,1.812475600047037,
adaptive,mixed_1,50,ok,903047.131089233,434741.2359568112,7520,1880,17,17280.0,2760,True,0,0,True,True,True,0.25176779995672405,1.3034267000621185,
fixed,mixed_1,50,ok,598880.9975943993,212829.7503414725,7680,1920,18,7680.0,2560,True,0,0,True,True,True,0.2897548000328243,1.3071235999232158,
fixed,mixed_1,51,ok,222143.28499549648,212165.903166325,7680,1920,18,8640.0,2160,True,0,0,True,True,True,0.2804952000733465,1.2381465000798926,
adaptive,mixed_1,51,ok,963662.8403941913,488414.9240645011,7520,1880,18,21600.0,2760,True,0,0,True,True,True,0.260621799970977,1.2752983000827953,
adaptive,mixed_1,52,ok,998157.9182659257,397861.16962063836,7280,1820,18,21360.0,2700,True,0,0,True,True,True,0.24879139999393374,1.1813710000133142,
fixed,mixed_1,52,ok,905885.1577516147,214755.06365998596,7680,1920,18,16480.0,2560,True,0,0,True,True,True,0.25861759996041656,1.3222992999944836,
fixed,mixed_1,53,ok,222735.84081258037,214156.34935374506,7680,1920,18,8640.0,2160,True,0,0,True,True,True,0.30150820000562817,1.3414832999696955,
adaptive,mixed_1,53,ok,869479.9068062672,268333.4403677372,6240,1560,15,21280.0,2440,True,0,0,True,True,True,0.2371966999489814,1.147875600028783,
adaptive,mixed_1,54,ok,819550.2083031215,239106.72071845282,7840,1960,17,17600.0,2840,True,0,0,True,True,True,0.2440527998842299,1.1642559999600053,
fixed,mixed_1,54,ok,906864.580405284,213337.85550666146,7680,1920,18,17440.0,2560,True,0,0,True,True,True,0.271908099995926,1.210101499920711,
fixed,mixed_1,55,ok,222606.39944420493,212542.51395686247,7680,1920,18,8640.0,2160,True,0,0,True,True,True,0.2709327000193298,1.1999635000247508,
adaptive,mixed_1,55,ok,120005.88957405048,83820.1683995315,6640,1660,15,8560.0,2140,True,0,0,True,True,True,0.23350019997451454,1.1448513000505045,
adaptive,mixed_1,56,ok,1155190.5983724133,299323.2345706769,9280,2320,19,73280.0,3200,True,0,0,True,True,True,0.2740131999598816,1.2175481000449508,
fixed,mixed_1,56,ok,906336.8546314177,214432.1385360168,7680,1920,18,16480.0,2560,True,0,0,True,True,True,0.30641830002423376,1.3284286999842152,
fixed,mixed_1,57,ok,907303.2552969339,212964.78235783995,7680,1920,18,17440.0,2560,True,0,0,True,True,True,0.26419869996607304,1.2731780000030994,
adaptive,mixed_1,57,ok,907804.1110538215,309711.44577898737,6480,1620,16,17200.0,2500,True,0,0,True,True,True,0.2590086000273004,1.1817476000869647,
adaptive,mixed_1,58,ok,864418.124496054,295122.23346076533,7440,1860,18,17200.0,2740,True,0,0,True,True,True,0.2483459000941366,1.1819698000326753,
fixed,mixed_1,58,ok,905836.02323821,214098.7949736174,7680,1920,18,16480.0,2560,True,0,0,True,True,True,0.26879150001332164,1.319571999949403,
fixed,mixed_1,59,ok,1205197.0051787738,213874.07110170237,7680,1920,18,72640.0,2560,True,0,0,True,True,True,0.2636256000259891,1.2344057000009343,
adaptive,mixed_1,59,ok,1161638.937705349,141336.59104953025,6880,1720,16,76160.0,2600,True,0,0,True,True,True,0.25561230001039803,1.1681078999536112,
adaptive,negative_1,50,ok,-1014845.0375128768,-1014845.0375128768,8320,2080,15,8320.0,2100,True,0,0,True,True,True,0.2353111000265926,1.1323806999716908,
fixed,negative_1,50,ok,-1140778.0566956445,-1140778.0566956445,12640,3160,20,12640.0,3180,True,0,0,True,True,True,0.26842119998764247,1.259109599981457,
fixed,negative_1,51,ok,-1151790.37718953,-1151790.37718953,12640,3160,20,12640.0,3180,True,0,0,True,True,True,0.25516880000941455,1.2088632999220863,
adaptive,negative_1,51,ok,-1155770.9926044005,-1155770.9926044005,10000,2500,20,10000.0,2520,True,0,0,True,True,True,0.25750629999674857,1.1895807000109926,
adaptive,negative_1,52,ok,-1024145.4525730815,-1029382.0423484438,8720,2180,16,8720.0,2420,True,0,0,True,True,True,0.252953999908641,1.2115864999359474,
fixed,negative_1,52,ok,-1152618.5774796493,-1152618.5774796493,12640,3160,20,12640.0,3180,True,0,0,True,True,False,0.2975620999932289,1.4515751000726596,
fixed,negative_1,53,ok,-1172366.3738686768,-1147192.5353232294,12640,3160,20,14240.0,3560,True,0,0,True,False,True,0.25012229999992996,1.3313468999695033,
adaptive,negative_1,53,ok,-1028731.7735859278,-1028731.7735859278,8560,2140,16,8560.0,2160,True,0,0,True,True,True,0.27295989997219294,1.182911700103432,
adaptive,negative_1,54,ok,-1018641.7703213389,-1023726.8593969827,9280,2320,16,9280.0,2560,True,0,0,True,True,True,0.23014390002936125,1.1744626000290737,
fixed,negative_1,54,ok,-1154189.1064309548,-1154189.1064309548,12640,3160,20,12640.0,3180,True,0,0,True,True,True,0.2685397999593988,1.3651521001011133,
fixed,negative_1,55,ok,-1148173.2203306209,-1148173.2203306209,12640,3160,20,12640.0,3180,True,0,0,True,True,True,0.24349430005531758,1.17389610002283,
adaptive,negative_1,55,ok,-995990.1924068781,-1004702.3337924671,8320,2080,15,8320.0,2320,True,0,0,True,True,True,0.23525280004832894,1.1057203999953344,
adaptive,negative_1,56,ok,-1148865.8721879486,-1150337.5394975317,10240,2560,16,10240.0,2800,True,0,0,True,True,True,0.24597019993234426,1.2435819000238553,
fixed,negative_1,56,ok,-1154540.9333622004,-1154540.9333622004,12640,3160,20,12640.0,3180,True,0,0,True,True,False,0.24165829992853105,1.1744227000745013,
fixed,negative_1,57,ok,-1148013.3127518976,-1148013.3127518976,12640,3160,20,12640.0,3180,True,0,0,True,True,True,0.2570230000419542,1.2234311000211164,
adaptive,negative_1,57,ok,-1028703.1113684721,-1031227.5755213087,9120,2280,17,9120.0,2520,True,0,0,True,True,True,0.24255069997161627,1.1585787000367418,
adaptive,negative_1,58,ok,-1095268.9603794282,-1095268.9603794282,9840,2460,20,9840.0,2480,True,0,0,True,True,True,0.27905150002334267,1.2938064000336453,
fixed,negative_1,58,ok,-1147586.5760735653,-1147586.5760735653,12640,3160,20,12640.0,3180,True,0,0,True,True,True,0.24584880005568266,1.1698363999603316,
fixed,negative_1,59,ok,-1155567.8514389151,-1155567.8514389151,12640,3160,20,12640.0,3180,True,0,0,True,True,True,0.2641126000089571,1.1971863000653684,
adaptive,negative_1,59,ok,-1019982.6451771944,-1019982.6451771944,8880,2220,15,8880.0,2240,True,0,0,True,True,True,0.2637617998989299,1.2298583999508992,
adaptive,rare_1,50,ok,-294311.4519803479,-294785.7691020132,7432,1858,20,7432.0,1898,True,0,0,False,False,False,0.28599150001537055,1.3084399999352172,
fixed,rare_1,50,ok,-233507.82547164496,-233776.19698346642,6400,1600,19,6400.0,1620,True,0,0,False,False,False,0.24427539994940162,1.1528272000141442,
fixed,rare_1,51,ok,-236725.39910074597,-236993.77061256743,6400,1600,19,6400.0,1620,True,0,0,False,False,False,0.24166990001685917,1.1840052999323234,
adaptive,rare_1,51,ok,-284019.66028717346,-284440.719159142,7120,1780,20,7120.0,1820,True,0,0,False,False,False,0.2509418000699952,1.1875460000010207,
adaptive,rare_1,52,ok,-238641.88312119362,-239996.5952812736,6080,1520,15,6080.0,1540,True,0,0,False,False,False,0.21386419993359596,1.083803000045009,
fixed,rare_1,52,ok,-235769.42624474136,-235901.08989465795,6400,1600,19,6400.0,1640,True,0,0,False,False,False,0.2585205000359565,1.2489773000124842,
fixed,rare_1,53,ok,-233063.14605231714,-234392.94090921298,6400,1600,19,6400.0,1620,True,0,0,False,False,False,0.2412060999777168,1.174266800051555,
adaptive,rare_1,53,ok,-282657.82003303117,-284152.9908443602,6880,1720,19,6880.0,1840,True,0,0,False,False,False,0.25083269993774593,1.2021960999118164,
adaptive,rare_1,54,ok,-287142.88159542973,-287095.5691183422,7440,1860,20,7440.0,1900,True,0,0,False,False,False,0.25353200000245124,1.2284648000495508,
fixed,rare_1,54,ok,-235884.4419367921,-236152.81344861357,6400,1600,19,6400.0,1620,True,0,0,False,False,False,0.31199269997887313,1.3069401999237016,
fixed,rare_1,55,ok,-234504.29190904796,-235834.08676594376,6400,1600,19,6400.0,1620,True,0,0,False,False,False,0.25565459998324513,1.3239130000583827,
adaptive,rare_1,55,ok,-294269.7869681667,-294685.0720452302,7992,1998,20,7992.0,2038,True,0,0,False,False,False,0.3285829999949783,1.2718438999727368,
adaptive,rare_1,56,ok,-285576.8745742979,-285656.0685623054,7680,1920,20,7680.0,1960,True,0,0,False,False,False,0.297825500019826,1.370396799989976,
fixed,rare_1,56,ok,-233849.4099638491,-234117.78147567055,6400,1600,19,6400.0,1620,True,0,0,False,False,False,0.2489509000442922,1.1873446999816224,
fixed,rare_1,57,ok,-234439.8668872717,-234708.23839909316,6400,1600,19,6400.0,1620,True,0,0,False,False,False,0.2483191000064835,1.2247005000244826,
adaptive,rare_1,57,ok,-293546.6344253426,-293966.0655123815,7432,1858,20,7432.0,1898,True,0,0,False,False,False,0.2662624000804499,1.3100777000654489,
adaptive,rare_1,58,ok,-281555.10150056006,-281976.9423490466,6160,1540,17,6160.0,1580,True,0,0,False,False,False,0.22838770004455,1.122450300026685,
fixed,rare_1,58,ok,-235067.75488859724,-235336.1264004187,6400,1600,19,6400.0,1620,True,0,0,False,False,False,0.24806390004232526,1.1819569999352098,
fixed,rare_1,59,ok,-235783.51177530532,-236088.71518656999,6400,1600,19,6400.0,1640,True,0,0,False,False,False,0.2627252000384033,1.1704335999675095,
adaptive,rare_1,59,ok,-238722.1368411699,-239027.3402524346,6480,1620,15,6480.0,1660,True,0,0,False,False,False,0.2325746000278741,1.1233370000263676,
adaptive,mixed_2,50,ok,327300.2846636477,166094.99555512218,7920,1980,17,18320.0,2780,True,0,0,True,True,True,0.2429384000133723,1.1527345000067726,
fixed,mixed_2,50,ok,-83243.05202744063,-131327.10265286223,9280,2320,17,10880.0,3120,True,0,0,True,True,True,0.2574782998999581,1.1888088999548927,
fixed,mixed_2,51,ok,-70802.28378799427,-126614.94768278056,9280,2320,17,12480.0,3120,True,0,0,True,True,True,0.2639313000254333,1.1841881000436842,
adaptive,mixed_2,51,ok,225549.86004858214,64153.56421839792,8800,2200,20,19200.0,3000,True,0,0,True,True,True,0.26877019996754825,1.2282161999028176,
adaptive,mixed_2,52,ok,332566.4181126621,86599.18768609616,10160,2540,19,20560.0,3340,True,0,0,True,True,True,0.2588556999107823,1.2518217000178993,
fixed,mixed_2,52,ok,-110975.28770815338,-132387.0751849785,9280,2320,17,10880.0,2840,True,0,0,True,True,True,0.2747518999967724,1.2336807999527082,
fixed,mixed_2,53,ok,-45618.87942557781,-130505.98602275277,9280,2320,17,19680.0,3120,True,0,0,True,True,True,0.258179199998267,1.2030871000606567,
adaptive,mixed_2,53,ok,574279.1381732526,179473.78698950505,7760,1940,17,34160.0,3140,True,0,0,True,True,True,0.2593737000133842,1.218752000015229,
adaptive,mixed_2,54,ok,415653.73373574216,34076.33092562201,8800,2200,18,28000.0,3520,True,0,0,True,True,True,0.37988609995227307,1.507430800003931,
fixed,mixed_2,54,ok,268438.7211107272,-136962.06545348137,9280,2320,17,28480.0,3520,True,0,0,True,True,True,0.26972250000108033,1.3782350999535993,
fixed,mixed_2,55,ok,-124157.67227103826,-129727.61258521312,9280,2320,17,9280.0,2453,True,0,0,True,True,True,0.25096179998945445,1.1549367000116035,
adaptive,mixed_2,55,ok,349520.0142619908,295140.65051821794,9920,2480,19,11520.0,3400,True,0,0,True,True,True,0.2686894000507891,1.2591446000151336,
adaptive,mixed_2,56,ok,538641.5427287151,100198.25694161237,7360,1840,16,33760.0,3040,True,0,0,True,True,True,0.25065060006454587,1.2059648999711499,
fixed,mixed_2,56,ok,297152.1005035521,-140087.47834515874,9280,2320,17,35680.0,3520,True,0,0,True,True,True,0.2564869999187067,1.1935025000711903,
fixed,mixed_2,57,ok,-75013.91620386299,-138426.54626307703,9280,2320,17,18080.0,2720,True,0,0,True,True,True,0.26187609997577965,1.2676632999209687,
adaptive,mixed_2,57,ok,323026.8847293057,201960.0241399678,8640,2160,18,19040.0,3080,True,0,0,True,True,True,0.27252890006639063,1.2586586000397801,
adaptive,mixed_2,58,ok,297008.3840242137,235845.71940903517,9520,2380,18,18320.0,2900,True,0,0,True,True,True,0.24516339995898306,1.1983363999752328,
fixed,mixed_2,58,ok,-98962.3428269465,-135451.9965430576,9280,2320,17,10880.0,2720,True,0,0,True,True,True,0.25113399990368634,1.2174237000290304,
fixed,mixed_2,59,ok,-97611.94694417316,-132010.28386028582,9280,2320,17,10880.0,2720,True,0,0,True,True,True,0.2531680000247434,1.1791144999442622,
adaptive,mixed_2,59,ok,238849.3635823117,19977.831015100153,8320,2080,15,18720.0,3280,True,0,0,True,True,True,0.24026130000129342,1.136284500011243,
adaptive,negative_2,50,ok,-394968.69577632705,-394968.69577632705,9120,2280,16,9120.0,2300,True,0,0,True,True,True,0.2305538000073284,1.1441170999314636,
fixed,negative_2,50,ok,-493612.70649324637,-493750.0949805656,12240,3060,19,12240.0,3100,True,0,0,False,False,False,0.26233280007727444,1.2505509000038728,
fixed,negative_2,51,ok,-494217.77017470007,-494368.11684504955,12240,3060,19,12240.0,3080,True,0,0,False,False,False,0.2559936000034213,1.2500557000748813,
adaptive,negative_2,51,ok,-441564.5929328313,-441714.93960318074,10720,2680,19,10720.0,2700,True,0,0,False,False,False,0.26096220000181347,1.2200222999090329,
adaptive,negative_2,52,ok,-534272.4810657783,-534422.8277361279,11120,2780,20,11120.0,2800,True,0,0,False,False,False,0.2530017999233678,1.2148715000366792,
fixed,negative_2,52,ok,-492932.1024133932,-493082.44908374257,12240,3060,19,12240.0,3080,True,0,0,False,False,False,0.2529717000434175,1.1746142000192776,
fixed,negative_2,53,ok,-491061.043395608,-491211.39006595744,12240,3060,19,12240.0,3080,True,0,0,False,False,False,0.24266900005750358,1.1660186999943107,
adaptive,negative_2,53,ok,-452143.3892912816,-452293.735961631,8880,2220,15,8880.0,2240,True,0,0,False,False,False,0.2297468000324443,1.1041583999758586,
adaptive,negative_2,54,ok,-508864.21911069524,-509014.56578104466,9920,2480,17,9920.0,2500,True,0,0,False,False,False,0.24877800000831485,1.139203800004907,
fixed,negative_2,54,ok,-577655.0251957758,-490010.9420235627,12240,3060,19,12240.0,3460,True,0,0,False,False,False,0.25179729994852096,1.202250099973753,
fixed,negative_2,55,ok,-495234.61154941237,-495384.95821976184,12240,3060,19,12240.0,3080,True,0,0,False,False,False,0.26623700000345707,1.21347199997399,
adaptive,negative_2,55,ok,-515787.2457318237,-515937.5924021732,11760,2940,20,11760.0,2960,True,0,0,False,False,False,0.2785332000348717,1.305261299945414,
adaptive,negative_2,56,ok,-465088.44062752894,-465088.44062752894,11520,2880,20,11520.0,2900,True,0,0,True,True,True,0.28650660009589046,1.282736000022851,
fixed,negative_2,56,ok,-494869.8687015467,-495020.21537189616,12240,3060,19,12240.0,3080,True,0,0,False,False,False,0.25896370003465563,1.2115186000009999,
fixed,negative_2,57,ok,-493022.3989349808,-493172.74560533016,12240,3060,19,12240.0,3080,True,0,0,False,False,False,0.25516290008090436,1.2337727000704035,
adaptive,negative_2,57,ok,-456444.57859027304,-456594.9252606225,10800,2700,20,10800.0,2720,True,0,0,True,False,False,0.25089530006516725,1.1862229999387637,
adaptive,negative_2,58,ok,-395425.25315347,-396935.0829424109,8800,2200,17,8800.0,2240,True,0,0,True,False,False,0.25739120005164295,1.198756100027822,
fixed,negative_2,58,ok,-491592.6027336047,-491763.00257823674,12240,3060,19,12240.0,3100,True,0,0,False,False,False,0.2779262999538332,1.2347754000220448,
fixed,negative_2,59,ok,-489895.8302926558,-490048.141866394,12240,3060,19,12240.0,3080,True,0,0,False,False,False,0.2629394999239594,1.2292207999853417,
adaptive,negative_2,59,ok,-462044.28656223894,-462196.5981359771,8880,2220,16,8880.0,2240,True,0,0,False,False,False,0.23727459996007383,1.1454742000205442,
adaptive,rare_2,50,ok,-260468.3767334723,-260609.0458308898,10160,2540,20,10160.0,2620,True,0,0,False,False,False,0.2708491999655962,1.2639653000514954,
fixed,rare_2,50,ok,-270919.0902739557,-270467.3854888079,12640,3160,20,12640.0,3240,True,0,0,False,False,False,0.26754079991951585,1.2220417000353336,
fixed,rare_2,51,ok,-261296.78373927652,-265703.6095596419,12640,3160,20,12640.0,3400,True,0,0,False,False,False,0.24661449994891882,1.2208494999213144,
adaptive,rare_2,51,ok,-258641.826648887,-260320.2612511949,8880,2220,17,8880.0,2300,True,0,0,False,False,False,0.268709700088948,1.2352240000618622,
adaptive,rare_2,52,ok,-293699.0977947021,-294204.9555853927,10080,2520,17,10080.0,2540,True,0,0,False,False,False,0.2398851999314502,1.1998426999198273,
fixed,rare_2,52,ok,-268528.02341736364,-269033.88120805426,12640,3160,20,12640.0,3180,True,0,0,False,False,False,0.24776749999728054,1.2197545999661088,
fixed,rare_2,53,ok,-271810.4090810567,-268947.00560599635,12640,3160,20,14240.0,3560,True,0,0,False,False,False,0.251999800093472,1.1857081999769434,
adaptive,rare_2,53,ok,-300088.3367320113,-306335.14835005463,12480,3120,20,12480.0,3520,True,0,0,False,False,False,0.24803519994020462,1.19623770006001,
adaptive,rare_2,54,ok,-290176.3914183435,-294471.9055618743,11280,2820,19,11280.0,3060,True,0,0,False,False,False,0.23736209992785007,1.1582416000310332,
fixed,rare_2,54,ok,-268861.5886729941,-269187.92917426693,12640,3160,20,12640.0,3293,True,0,0,False,False,False,0.24005280004348606,1.1826869000215083,
fixed,rare_2,55,ok,-266210.8257581315,-266335.81483952317,12640,3160,20,12640.0,3293,True,0,0,False,False,False,0.2531532000284642,1.1893868000479415,
adaptive,rare_2,55,ok,-264303.1782781861,-264028.22223066166,11120,2780,20,11120.0,2860,True,0,0,False,False,False,0.2562007999513298,1.1866453000111505,
adaptive,rare_2,56,ok,-283290.5583683136,-283908.76567142416,9360,2340,17,9360.0,2473,True,0,0,False,False,False,0.23109720007050782,1.1267347000539303,
fixed,rare_2,56,ok,-266613.0301815698,-267757.46746241825,12640,3160,20,12640.0,3240,True,0,0,False,False,False,0.2621044999687001,1.2895054999971762,
fixed,rare_2,57,ok,-268827.94196341856,-269037.2370522489,12640,3160,20,12640.0,3293,True,0,0,False,False,False,0.27387889998499304,1.2621385999955237,
adaptive,rare_2,57,ok,-264628.78780623735,-264665.59028938867,11120,2780,20,11120.0,2913,True,0,0,False,False,False,0.24932719999924302,1.2197538000764325,
adaptive,rare_2,58,ok,-249621.14151230693,-250122.28666752327,8160,2040,17,8160.0,2060,True,0,0,False,False,False,0.24288850009907037,1.1590475999983028,
fixed,rare_2,58,ok,-268982.0416444422,-269195.70406842977,12640,3160,20,12640.0,3293,True,0,0,False,False,False,0.23887440003454685,1.1716043000342324,
fixed,rare_2,59,ok,-269148.6739217245,-269404.39660445595,12640,3160,20,12640.0,3293,True,0,0,False,False,False,0.24499949999153614,1.1779381999513134,
adaptive,rare_2,59,ok,-269308.8309580956,-267545.04932084284,11040,2760,20,11040.0,3160,True,0,0,False,False,False,0.2490773000754416,1.1702409000135958,
