policy,scenario,seed,status,net,pilot_net,pilot_cost,pilot_contacts,n_pilots,total_cost,total_contacts,preflight_valid,dropped_campaigns,capped_campaigns,positive_discovered,positive_deployed,positive_observation,agent_seconds,wall_seconds,exception
adaptive,mock,50,ok,1288690.2555595175,561485.2423284573,14400,3600,20,94098.0,4356,True,0,0,True,True,True,0.5328434999100864,1.670927600003779,
fixed,mock,50,ok,1181290.0631847424,454085.0499536819,14000,3500,20,93698.0,4256,True,0,0,True,True,True,0.5207696000579745,1.6233502000104636,
fixed,mock,51,ok,1639626.0687000356,466793.0593792954,14000,3500,20,91922.0,6998,True,0,0,True,True,True,0.5590839000651613,1.7442134000593796,
adaptive,mock,51,ok,1684893.1844205202,542264.7028096926,14400,3600,20,92322.0,7098,True,0,0,True,True,True,0.5768113000085577,1.759321599965915,
adaptive,mock,52,ok,1427889.9315842541,450251.5445863819,14400,3600,20,41956.0,6076,True,0,0,True,True,True,0.5936177000403404,1.8146748000290245,
fixed,mock,52,ok,1172336.9652332817,447188.6203990697,14000,3500,20,67938.0,5889,True,0,0,True,True,True,0.5709785000653937,1.722448299988173,
fixed,mock,53,ok,1670928.6896438785,447710.6878577267,14000,3500,20,98820.0,8631,True,0,0,True,True,True,0.5748514999868348,1.7683848000597209,
adaptive,mock,53,ok,1386684.223297663,511075.3869087701,14400,3600,20,58362.0,7303,True,0,0,True,True,True,0.5664991000667214,1.7394253000384197,
adaptive,mock,54,ok,685689.4335558818,367088.4626817348,14400,3600,20,99668.0,9468,True,0,0,True,True,True,0.638105999911204,1.9307549999793991,
fixed,mock,54,ok,1055623.251637521,456510.90911752393,14000,3500,20,99996.0,11926,True,0,0,True,True,True,0.644546200055629,1.95340760005638,
fixed,mock,55,ok,1027410.5614621167,455815.10108678334,14000,3500,20,30632.0,4256,True,0,0,True,True,True,0.5681804999476299,1.6807418999960646,
adaptive,mock,55,ok,1094549.9395512843,427177.9200059201,13600,3400,19,52716.0,5178,True,0,0,True,True,True,0.5554947999771684,1.6282046999549493,
adaptive,mock,56,ok,1509351.9417376663,461845.95551764953,14400,3600,20,99420.0,9411,True,0,0,True,True,True,0.6046733000548556,1.8213354999898002,
fixed,mock,56,ok,1595941.4172573509,461458.6947546089,14000,3500,20,84260.0,7202,True,0,0,True,True,True,0.5580158999655396,1.7178936999989673,
fixed,mock,57,ok,1359020.2121489549,450874.71873124305,14000,3500,20,33548.0,7203,True,0,0,True,True,True,0.5627206999342889,1.7782037999713793,
adaptive,mock,57,ok,1371438.3672737496,495977.2783735059,14000,3500,20,32012.0,5976,True,0,0,True,True,True,0.5576845000032336,1.7798907000105828,
adaptive,mock,58,ok,1089028.9434346599,454960.01450849965,11200,2800,16,36302.0,3943,True,0,0,True,True,True,0.5293590999208391,1.670597800053656,
